City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Saskylakh,RU,71.9167,114.0833,5.14,90,62,10.09,broken clouds
100,Nanortalik,GL,60.1432,-45.2371,14.63,75,87,5.01,overcast clouds
101,Asau,RO,46.4333,26.4,34.72,95,100,1.25,light snow
102,Tasiilaq,GL,65.6145,-37.6368,19.29,94,100,7.45,overcast clouds
103,Linxia,CN,35.6003,103.2064,34.65,58,69,2.84,broken clouds
104,Saint-Augustin,CA,51.226,-58.6502,0.75,92,67,2.15,broken clouds
105,Georgetown,MY,5.4112,100.3354,87.75,70,20,4.61,few clouds
106,Port Alfred,ZA,-33.5906,26.891,66.18,90,4,4.0,clear sky
107,Guarapari,BR,-20.6667,-40.4975,73.89,92,20,3.13,few clouds
108,Coahuayana,MX,18.7333,-103.6833,71.78,68,1,4.16,clear sky
109,Dunedin,NZ,-45.8742,170.5036,67.55,68,64,10.87,broken clouds
110,Alofi,NU,-19.0595,-169.9187,82.29,83,78,11.5,broken clouds
111,Puerto Ayora,EC,-0.7393,-90.3518,79.56,90,20,10.0,few clouds
112,Paamiut,GL,61.994,-49.6678,13.91,95,100,8.43,light snow
113,Glace Bay,CA,46.1969,-59.957,29.98,77,75,9.22,broken clouds
114,Saint George,US,37.1041,-113.5841,46.94,47,0,1.99,clear sky
115,Coihaique,CL,-45.5752,-72.0662,51.75,50,0,3.44,clear sky
116,Erzurum,TR,40.0,41.5,20.88,96,98,4.32,overcast clouds
117,Alyangula,AU,-13.8483,136.4192,85.42,69,100,10.89,moderate rain
118,Andra,RU,62.5147,65.8878,-4.95,99,94,2.51,overcast clouds
119,Saint Anthony,US,45.0205,-93.218,21.42,79,0,4.61,clear sky
120,Mar Del Plata,AR,-38.0023,-57.5575,60.1,77,0,8.01,clear sky
121,Vitim,RU,59.4511,112.5578,12.58,82,100,10.09,overcast clouds
122,Teguldet,RU,57.3064,88.1667,12.52,90,99,7.74,overcast clouds
123,Gat,IL,31.61,34.7642,60.4,76,0,4.16,clear sky
124,Namibe,AO,-15.1961,12.1522,65.77,76,65,3.76,broken clouds
125,Villa Union,MX,23.2,-106.2333,70.92,76,5,3.69,clear sky
126,Lebu,CL,-37.6167,-73.65,55.76,87,0,18.12,clear sky
127,Bredasdorp,ZA,-34.5322,20.0403,67.84,57,79,23.33,broken clouds
128,Ginir,ET,7.1333,40.7,62.28,22,45,5.97,scattered clouds
129,Zhezkazgan,KZ,47.8043,67.7144,21.18,93,100,20.13,overcast clouds
130,Kaitangata,NZ,-46.2817,169.8464,70.16,62,74,3.91,broken clouds
131,Mount Gambier,AU,-37.8333,140.7667,75.34,44,48,7.72,scattered clouds
132,Isangel,VU,-19.55,169.2667,86.11,66,75,8.05,broken clouds
133,Grindavik,IS,63.8424,-22.4338,37.35,64,75,29.93,broken clouds
134,Lagoa,PT,39.05,-27.9833,58.15,64,100,7.34,overcast clouds
135,Longyearbyen,SJ,78.2186,15.6401,6.64,78,40,9.22,light snow
136,Arraial Do Cabo,BR,-22.9661,-42.0278,75.24,91,95,10.92,overcast clouds
137,Kahului,US,20.8947,-156.47,75.85,80,73,5.01,light rain
138,Port Blair,IN,11.6667,92.75,84.24,70,20,11.5,few clouds
139,Mahebourg,MU,-20.4081,57.7,83.25,83,75,13.8,light rain
140,Dikson,RU,73.5069,80.5464,18.9,95,100,14.47,light snow
141,Gasa,PS,31.5,34.4667,56.61,78,0,7.87,clear sky
142,Bonavista,CA,48.6499,-53.1147,20.46,82,22,11.99,few clouds
143,San Quintin,MX,30.4833,-115.95,55.47,75,21,4.14,few clouds
144,Batemans Bay,AU,-35.7167,150.1833,79.11,65,0,5.57,clear sky
145,San Jose,US,37.3394,-121.895,55.71,55,0,1.99,clear sky
146,Hilo,US,19.7297,-155.09,74.28,94,100,4.61,moderate rain
147,Nikolskoye,RU,59.7035,30.7861,14.81,98,87,2.19,overcast clouds
148,Provideniya,RU,64.3833,-173.3,-0.29,71,100,20.13,snow
149,Vao,NC,-22.6667,167.4833,77.18,66,2,17.43,clear sky
150,Eureka,US,40.8021,-124.1637,45.93,93,12,1.01,few clouds
151,Vaitape,PF,-16.5167,-151.75,82.24,72,21,11.54,few clouds
152,Bethel,US,41.3712,-73.414,44.94,84,80,4.45,broken clouds
153,Chabua,IN,27.4825,95.1736,76.95,69,75,9.22,mist
154,Sitka,US,57.0531,-135.33,35.64,98,100,4.07,overcast clouds
155,Saint-Georges,GD,12.0564,-61.7485,74.88,78,20,3.44,few clouds
156,La Baule-Escoublac,FR,47.2922,-2.364,33.46,100,100,1.14,fog
157,Mae Sot,TH,16.7167,98.5667,94.42,57,7,4.61,haze
158,Yellowknife,CA,62.456,-114.3525,-24.45,75,20,8.05,few clouds
159,Neuquen,AR,-38.9516,-68.0591,60.69,67,0,2.3,clear sky
160,Hirara,JP,24.8,125.2833,62.46,82,75,25.32,light intensity shower rain
161,Rincon,US,32.296,-81.2354,57.85,88,0,5.75,clear sky
162,Komsomolskiy,UZ,40.4272,71.7189,43.52,75,6,4.61,mist
163,Cabo San Lucas,MX,22.8909,-109.9124,69.51,67,18,1.99,few clouds
164,Hambantota,LK,6.1241,81.1185,77.34,100,75,6.91,broken clouds
165,Estelle,US,29.8458,-90.1067,59.0,82,78,5.01,broken clouds
166,Lompoc,US,34.6391,-120.4579,54.93,71,43,5.99,scattered clouds
167,Manado,ID,1.487,124.8455,86.77,74,40,2.3,light rain
168,Nha Trang,VN,12.25,109.1833,80.6,72,88,13.02,overcast clouds
169,Santa Cruz,BO,-17.8,-63.1667,62.06,77,59,4.61,broken clouds
170,Portland,US,45.5234,-122.6762,48.63,82,100,9.22,overcast clouds
171,Upernavik,GL,72.7868,-56.1549,-5.93,92,100,12.95,overcast clouds
172,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,79,100,13.8,overcast clouds
